Infinitiv,Prateritum,Partizip_2,Translation
biegen,bog,gebogen,гнуть/изгибать
bieten,bot,geboten,предлагать
fliegen,flog,geflogen,летать
fliehen,floh,geflohen,убегать
fließen,floss,geflossen,течь
frieren,fror,gefroren,мерзнуть
gießen,goss,gegossen,лить
genießen,genoss,genossen,наслаждаться
kriechen,kroch,gekrochen,ползать
riechen,roch,gerochen,нюхать/пахнуть
schieben,schob,geschoben,толкать
schießen,schoss,geschossen,стрелять
schließen,schloss,geschlossen,закрывать
verlieren,verlor,verloren,терять/проигрывать
wiegen,wog,gewogen,взвешивать/весить
ziehen,zog,gezogen,тянуть
